run_id,episode,total_reward,avg_reward,avg_wait_time,epsilon,q_table_size,alpha,gamma,epsilon_init,epsilon_decay
qlearning-v1,1,-893.0736,-8.9307,8.0107,0.97,28,0.1,0.95,1.0,0.97
qlearning-v1,10,-741.5885,-7.4159,6.2359,0.7374,79,0.1,0.95,1.0,0.97
qlearning-v1,20,-907.0973,-9.071,7.831,0.5438,110,0.1,0.95,1.0,0.97
qlearning-v1,30,-897.1382,-8.9714,7.5914,0.401,129,0.1,0.95,1.0,0.97
qlearning-v1,40,-893.7833,-8.9378,7.8578,0.2957,138,0.1,0.95,1.0,0.97
qlearning-v1,50,-988.2638,-9.8826,8.4826,0.2181,149,0.1,0.95,1.0,0.97
qlearning-v1,60,-926.1825,-9.2618,7.7818,0.1608,156,0.1,0.95,1.0,0.97
qlearning-v1,70,-952.4135,-9.5241,8.1041,0.1186,159,0.1,0.95,1.0,0.97
qlearning-v1,80,-889.931,-8.8993,7.2193,0.0874,167,0.1,0.95,1.0,0.97
qlearning-v1,90,-840.2368,-8.4024,6.8224,0.0645,171,0.1,0.95,1.0,0.97
qlearning-v1,100,-787.8578,-7.8786,6.5786,0.05,183,0.1,0.95,1.0,0.97
qlearning-v1,110,-888.4212,-8.8842,7.1842,0.05,188,0.1,0.95,1.0,0.97
qlearning-v1,120,-960.7642,-9.6076,8.4276,0.05,192,0.1,0.95,1.0,0.97
qlearning-v1,130,-1000.7294,-10.0073,8.5273,0.05,198,0.1,0.95,1.0,0.97
qlearning-v1,140,-1065.6277,-10.6563,9.3963,0.05,201,0.1,0.95,1.0,0.97
qlearning-v1,150,-791.5336,-7.9153,6.5153,0.05,210,0.1,0.95,1.0,0.97
qlearning-v1,160,-829.1521,-8.2915,7.0515,0.05,211,0.1,0.95,1.0,0.97
qlearning-v1,170,-807.2749,-8.0727,7.0727,0.05,214,0.1,0.95,1.0,0.97
qlearning-v1,180,-1123.3623,-11.2336,9.5336,0.05,217,0.1,0.95,1.0,0.97
qlearning-v1,190,-872.9912,-8.7299,7.5499,0.05,228,0.1,0.95,1.0,0.97
qlearning-v1,200,-873.2606,-8.7326,7.2926,0.05,232,0.1,0.95,1.0,0.97
qlearning-v1,210,-1073.5446,-10.7354,9.3954,0.05,236,0.1,0.95,1.0,0.97
qlearning-v1,220,-950.1452,-9.5015,8.4815,0.05,237,0.1,0.95,1.0,0.97
qlearning-v1,230,-746.3173,-7.4632,6.5032,0.05,239,0.1,0.95,1.0,0.97
qlearning-v1,240,-677.8966,-6.779,5.539,0.05,240,0.1,0.95,1.0,0.97
qlearning-v1,250,-931.1721,-9.3117,7.7117,0.05,241,0.1,0.95,1.0,0.97
qlearning-v1,260,-852.6458,-8.5265,7.3265,0.05,244,0.1,0.95,1.0,0.97
qlearning-v1,270,-838.3819,-8.3838,7.5038,0.05,246,0.1,0.95,1.0,0.97
qlearning-v1,280,-1213.3227,-12.1332,10.9332,0.05,246,0.1,0.95,1.0,0.97
qlearning-v1,290,-854.7835,-8.5478,7.3478,0.05,246,0.1,0.95,1.0,0.97
qlearning-v1,300,-792.9566,-7.9296,6.4696,0.05,246,0.1,0.95,1.0,0.97
