run_id,episode,total_reward,avg_reward,avg_wait_time,epsilon,q_table_size,alpha,gamma,epsilon_init,epsilon_decay
qlearning-v2-explored,1,-845.5198,-8.4552,7.2152,0.99,27,0.15,0.99,1.0,0.99
qlearning-v2-explored,20,-869.3684,-8.6937,7.3737,0.8179,120,0.15,0.99,1.0,0.99
qlearning-v2-explored,40,-979.8768,-9.7988,8.3388,0.669,151,0.15,0.99,1.0,0.99
qlearning-v2-explored,60,-904.9324,-9.0493,8.1293,0.5472,166,0.15,0.99,1.0,0.99
qlearning-v2-explored,80,-918.1011,-9.181,7.821,0.4475,178,0.15,0.99,1.0,0.99
qlearning-v2-explored,100,-773.1121,-7.7311,6.5311,0.366,191,0.15,0.99,1.0,0.99
qlearning-v2-explored,120,-907.8805,-9.0788,7.9988,0.2994,204,0.15,0.99,1.0,0.99
qlearning-v2-explored,140,-781.5407,-7.8154,6.6954,0.2449,217,0.15,0.99,1.0,0.99
qlearning-v2-explored,160,-794.6356,-7.9464,6.9264,0.2003,226,0.15,0.99,1.0,0.99
qlearning-v2-explored,180,-958.6695,-9.5867,8.2267,0.1638,230,0.15,0.99,1.0,0.99
qlearning-v2-explored,200,-836.5413,-8.3654,7.2454,0.134,233,0.15,0.99,1.0,0.99
qlearning-v2-explored,220,-742.5154,-7.4252,6.3052,0.1096,237,0.15,0.99,1.0,0.99
qlearning-v2-explored,240,-1122.2009,-11.222,9.802,0.0896,241,0.15,0.99,1.0,0.99
qlearning-v2-explored,260,-728.188,-7.2819,6.2219,0.0733,248,0.15,0.99,1.0,0.99
qlearning-v2-explored,280,-1027.637,-10.2764,9.1564,0.06,252,0.15,0.99,1.0,0.99
qlearning-v2-explored,300,-922.9227,-9.2292,8.0742,0.049,254,0.15,0.99,1.0,0.99
qlearning-v2-explored,320,-827.4315,-8.2743,7.1943,0.0401,256,0.15,0.99,1.0,0.99
qlearning-v2-explored,340,-1105.7624,-11.0576,9.5776,0.0328,261,0.15,0.99,1.0,0.99
qlearning-v2-explored,360,-1188.4587,-11.8846,10.6246,0.0268,263,0.15,0.99,1.0,0.99
qlearning-v2-explored,380,-940.3972,-9.404,7.704,0.0219,265,0.15,0.99,1.0,0.99
qlearning-v2-explored,400,-892.802,-8.928,7.788,0.02,271,0.15,0.99,1.0,0.99
qlearning-v2-explored,420,-878.5829,-8.7858,7.4258,0.02,273,0.15,0.99,1.0,0.99
qlearning-v2-explored,440,-1123.824,-11.2382,9.3182,0.02,275,0.15,0.99,1.0,0.99
qlearning-v2-explored,460,-872.6236,-8.7262,7.3462,0.02,281,0.15,0.99,1.0,0.99
qlearning-v2-explored,480,-1068.0104,-10.6801,9.2601,0.02,283,0.15,0.99,1.0,0.99
qlearning-v2-explored,500,-971.5217,-9.7152,8.2752,0.02,289,0.15,0.99,1.0,0.99
